Order ID,Ship Mode,Region,Category,Regional Manager,Target Key,Sales,Quantity,Discount,Profit,Ship Delay Days,Expected Ship Days,Is Delayed,Is Returned,Year,Month,Month Name,Quarter,Year Month
ES-2015-2801336,Standard Class,South,Office Supplies,Damala Kotsonis,South|Office Supplies|2015,102.54,2.0,0.0,35.88,4.0,4.0,No,No,2015,6,Jun,2,2015-06
ES-2015-3186072,Standard Class,North,Technology,Ross DeVincentis,North|Technology|2015,1892.25,5.0,0.0,170.25,4.0,4.0,No,No,2015,9,Sep,3,2015-09
ES-2015-3186072,Standard Class,North,Technology,Ross DeVincentis,North|Technology|2015,122.04,4.0,0.0,52.44,4.0,4.0,No,No,2015,9,Sep,3,2015-09
ES-2015-3186072,Standard Class,North,Technology,Ross DeVincentis,North|Technology|2015,1140.75,3.0,0.0,239.49,4.0,4.0,No,No,2015,9,Sep,3,2015-09
ES-2015-5235241,Same Day,Central,Office Supplies,Emily Burns,Central|Office Supplies|2015,84.3,2.0,0.0,28.62,1.0,0.0,Yes,No,2015,8,Aug,3,2015-08
ES-2015-5235241,Same Day,Central,Technology,Emily Burns,Central|Technology|2015,538.2,2.0,0.15,-19.02,1.0,0.0,Yes,No,2015,8,Aug,3,2015-08
ES-2015-5235241,Same Day,Central,Office Supplies,Emily Burns,Central|Office Supplies|2015,157.86,3.0,0.0,29.97,1.0,0.0,Yes,No,2015,8,Aug,3,2015-08
ES-2015-4620955,Second Class,Central,Office Supplies,Emily Burns,Central|Office Supplies|2015,59.22,2.0,0.0,20.7,2.0,2.0,No,No,2015,12,Dec,4,2015-12
ES-2015-4620955,Second Class,Central,Office Supplies,Emily Burns,Central|Office Supplies|2015,45.93,3.0,0.1,18.84,2.0,2.0,No,No,2015,12,Dec,4,2015-12
ES-2015-5220738,Second Class,North,Office Supplies,Ross DeVincentis,North|Office Supplies|2015,50.58,3.0,0.0,9.09,2.0,2.0,No,No,2015,12,Dec,4,2015-12
ES-2015-5220738,Second Class,North,Office Supplies,Ross DeVincentis,North|Office Supplies|2015,107.4,2.0,0.0,0.0,2.0,2.0,No,No,2015,12,Dec,4,2015-12
ES-2015-5287434,Standard Class,North,Office Supplies,Ross DeVincentis,North|Office Supplies|2015,34.11,3.0,0.0,7.83,4.0,4.0,No,No,2015,4,Apr,2,2015-04
ES-2015-5287434,Standard Class,North,Furniture,Ross DeVincentis,North|Furniture|2015,2624.04,6.0,0.0,446.04,4.0,4.0,No,No,2015,4,Apr,2,2015-04
ES-2015-5287434,Standard Class,North,Office Supplies,Ross DeVincentis,North|Office Supplies|2015,423.24,2.0,0.0,29.58,4.0,4.0,No,No,2015,4,Apr,2,2015-04
ES-2015-4932761,Standard Class,Central,Office Supplies,Emily Burns,Central|Office Supplies|2015,964.53,7.0,0.0,125.37,6.0,4.0,Yes,No,2015,5,May,2,2015-05
ES-2015-4932761,Standard Class,Central,Furniture,Emily Burns,Central|Furniture|2015,87.3,2.0,0.0,27.06,6.0,4.0,Yes,No,2015,5,May,2,2015-05
ES-2015-4932761,Standard Class,Central,Furniture,Emily Burns,Central|Furniture|2015,1058.58,6.0,0.0,105.84,6.0,4.0,Yes,No,2015,5,May,2,2015-05
